"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACER1",0.126957625986194,0.780962194556406,4.32804458550702,0.180442271128988,0.856805371345258,NA
"ACER2",36.8222122443665,0.447709427618709,0.450629586764296,0.993519823750244,0.320456694676265,0.883602796938583
"ACER3",9648.52388564734,-0.415474898310105,0.408358564781756,-1.01742667876246,0.308950495863851,0.879431295938598
"ACHE",297.251117650802,-0.355624183771033,0.760148941434062,-0.467834873386956,0.639902679797584,0.949422501352759
"ACIN1",18237.8267386729,0.0935144497571831,0.150318186331545,0.622110019016099,0.533869527401129,0.934637695062367
"ACKR1",3.80172885699506,-4.59664618781443,3.43443704592369,-1.33839873212122,0.180766491995658,0.814386556887691
"ACKR2",5.45240415784417,-1.35657270315915,1.06881575983447,-1.26922969714559,0.204359152172176,0.822233102461367
"ACKR3",5630.04657988409,0.212375704358024,1.07579342165308,0.197413090732311,0.843504286272179,0.988379289263837
"ACKR4",23.3589236273926,-0.47550172269682,0.9226513998359,-0.515364440764292,0.606298376050649,0.948844517290494
"ACLY",46306.2431954337,0.525986571986861,0.344837571399554,1.52531689007117,0.127180076989414,0.762161208301131
"ACMSD",1.34613526518205,3.68870927483562,4.09999031921326,0.89968731329674,0.368286676746509,0.897984004153983
"ACO1",10211.2282265795,-0.543209364859266,0.227908797186061,-2.38345062396077,0.0171511851304869,0.460730506043913
"ACO2",2626.43594213682,-0.350243105988944,0.164129258181899,-2.13394680429727,0.0328471355588937,0.558550648776804
"ACOT1",324.652387349398,-0.250128177967285,0.303540595751777,-0.824035339812766,0.409919478122616,0.914403854271399
"ACOT11",68.6404088571486,-0.78966802813064,0.775534500533897,-1.01822424094223,0.30857140189437,0.879431295938598
"ACOT12",21.2783588789581,-0.760369181224194,0.646652920485277,-1.17585362585787,0.239653372894258,0.847068137008718
"ACOT13",1428.17604680698,-0.211841704531778,0.125596557794685,-1.68668400035358,0.0916641301948554,0.700592512762455
"ACOT2",753.763275515445,-0.362178082918344,0.293605488355226,-1.23355351750153,0.21736932284436,0.829900945434356
"ACOT4",24.9057381031173,1.67522523209231,0.621843206890787,2.6939672469342,0.00706071027320254,0.315905768107665
"ACOT6",0.662392824756379,0.479879040813749,3.79831973151078,0.126339822535918,0.899462934967294,0.994187638135529
"ACOT7",1176.25136754146,0.220564451093607,0.346219183236689,0.637065944849223,0.524081889935491,0.934286958172229
"ACOT8",375.435158851835,-0.0357951246416917,0.137808849355089,-0.25974474650361,0.795060674184983,0.979302451552902
"ACOT9",1785.54684271828,-0.333126081809435,0.132536368960352,-2.51346920413286,0.0119550215081683,0.399288077226443
"ACOX1",5468.28636774978,0.0527372877332711,0.110728366401111,0.476276219430813,0.63387760496129,0.949143361837332
"ACOX2",426.25423682444,-0.371611491536495,0.278503972316141,-1.33431307440981,0.182101274506899,0.814758812717522
"ACOX3",930.438512727961,0.252515787766801,0.162836134805728,1.55073557885703,0.120965064462386,0.750707004426345
"ACOXL",2.99622613251476,-0.612229739052625,1.35780632017313,-0.45089622132158,0.6520643470542,0.951187031302461
"ACP1",3680.6913339257,0.0528336255787378,0.171963011801173,0.307238312619373,0.758661985578685,0.97204258704253
"ACP2",6366.90494351591,-0.255362924301497,0.143651646180414,-1.7776540060027,0.0754606980344062,0.67144327020772
"ACP4",0.197679302868487,-0.661719333945934,4.32804458550702,-0.152891062204345,0.87848418436943,NA
"ACP5",77.3569626999354,-1.5068073281649,1.2162279367685,-1.23891853049229,0.215375670461299,0.827194900286362
"ACP6",364.652186400082,0.0370247985012389,0.359848516462906,0.10288995732196,0.918050308293835,0.996858043966616
"ACP7",0.41300520132257,-0.661720037841795,4.07486832572257,-0.162390532637507,0.870998325748777,0.989771849561272
"ACPP",16.8168318133281,0.782997160659767,1.33080110739134,0.588365275855994,0.556287139930381,0.937955932098896
"ACR",1.02599502601624,1.37296802190489,2.03585946291602,0.674392337444722,0.500061913014369,0.927706649607892
"ACRBP",6.03445926522184,1.15943521806161,1.21735863807832,0.952418771095963,0.340884643370141,0.894372462287126
"ACRV1",1.78093303651683,-0.216524311752203,3.30870553758171,-0.0654407922653818,0.947823046137131,0.999658533285014
"ACSBG1",24.3784657236554,-2.13313550925845,0.822380331742135,-2.59385521141976,0.00949064452857613,0.363939854769426
"ACSBG2",6.65791184816522,-0.29144165784893,2.63731622907438,-0.110506906466509,0.912007372849662,0.996523947029568
"ACSF2",2547.3983018511,0.310448918067199,0.184020631139421,1.6870332209218,0.0915969642467972,0.700592512762455
"ACSF3",1101.7665621134,0.11763176038483,0.143500480097375,0.819730779332644,0.412369599469008,0.914757345156005
"ACSL1",7972.41393723784,-0.337059157407636,0.260896049685293,-1.29192894186867,0.196381753803174,0.819352820003629
"ACSL3",9955.284884152,-0.340887275206296,0.216273068741427,-1.57618920002405,0.114982206735562,0.743303105822877
"ACSL4",54575.5404879946,-1.12626658693583,0.384786538506794,-2.92699061486514,0.00342259208701199,0.227903421449072
"ACSL5",26.5805242114447,0.258058563261445,1.05899325264849,0.243682915463392,0.807476406050598,0.982999275619797
"ACSL6",28.3215575020226,-0.428959763015856,1.09031766300093,-0.393426409176214,0.694004567343375,0.958085684247981
"ACSM1",0.172670923358227,0,4.32804458550702,0,1,NA
"ACSM2A",3.26001927705275,-5.86939006849031,2.78047257864171,-2.11093254922786,0.0347781098874119,0.568179653249374
"ACSM2B",0.49287143133356,-0.607795388108303,4.21400371208201,-0.144232285881877,0.885317047037154,0.990273974074531
